No.,診療所名,診療所名_カナ,医療機関の種類,所在地,電話番号,診療科目,病床数,緯度,経度,
316,歯科堀江医院,シカホリエイイン,歯科診療所,福井県福井市花堂南 2-5-3,0776-34-3366,歯科,0,36.03572758,136.2119083,
317,しば歯科医院,シバシカイイン,歯科診療所,福井県福井市江端町 24-21-2,0776-38-7000,歯科,0,36.02915917,136.2121118,
318,清水歯科医院,シミズシカイイン,歯科診療所,福井県福井市志比口３丁目１－５,0776-54-0550,歯科、小児歯科,0,36.07127548,136.2338805,
319,小児歯科シャノワール,ショウニシカシャノワール,歯科診療所,福井県福井市二の宮 3-16-28,0776-27-2888,小児歯科,0,36.08500932,136.2194713,
320,すがや歯科クリニック,スガヤシカクリニック,歯科診療所,福井県福井市菅谷町10-2-26,0776-63-5002,歯科、小児歯科、歯科口腔外科,0,36.07396727,136.1904996,
321,杉田歯科医院,スギタシカイイン,歯科診療所,福井県福井市福 1丁目1218,0776-35-0456,歯科,0,36.04654345,136.1892104,
322,鈴木歯科医院,スズキシカイイン,歯科診療所,福井県福井市上森田 1丁目501,0776-56-4010,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.11278292,136.2284983,
323,すすき歯科クリニック,ススキシカクリニック,歯科診療所,福井県福井市西谷２丁目２１１０,0776-36-0111,歯科、小児歯科、歯科口腔外科,0,36.03931147,136.2031448,
324,鈴木歯科クリニック,スズキシカクリニック,歯科診療所,福井県福井市二の宮 3丁目10-3,0776-22-4618,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.08383115,136.2183258,
325,スマイル歯科クリニック,スマイルシカクリニック,歯科診療所,福井県福井市中央 2丁目7-15,0776-97-9872,歯科、小児歯科,0,36.05867033,136.2181033,
326,そら歯科医院,ソラシカイイン,歯科診療所,福井県福井市高柳 3丁目3507,0776-53-6480,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.09844848,136.2400527,
327,髙垣歯科,タカガキシカ,歯科診療所,福井県福井市大宮３丁目３０－２７,0776-97-8628,歯科、小児歯科、歯科口腔外科,0,36.08277974,136.2136548,
328,高橋歯科医院,タカハシシカイイン,歯科診療所,福井県福井市大手 2-7-3,0776-24-5000,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.0627583,136.2216392,
329,たかはし歯科クリニック,タカハシシカクリニック,歯科診療所,福井県福井市経田２丁目２０１番地,0776-28-6565,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.08813853,136.219188,
330,たきなみ歯科クリニック,タキナミシカクリニック,歯科診療所,福井県福井市城東 4丁目13番41号,0776-26-0600,歯科、小児歯科,0,36.05858374,136.2369036,
331,竹沢歯科医院,タケザワシカイイン,歯科診療所,福井県福井市上中町 7-33,0776-52-2611,歯科、小児歯科,0,36.08567318,136.2702742,
332,竹下歯科,タケシタシカ,歯科診療所,福井県福井市木田 2丁目2104,0776-35-6480,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.04603882,136.2265809,
333,田中歯科クリニック,タナカシカクリニック,歯科診療所,福井県福井市経田 2丁目407,0776-29-2500,歯科、矯正歯科,0,36.08811781,136.2156634,
334,たにはた歯科クリニック,タニハタシカクリニック,歯科診療所,福井県福井市下馬 2丁目2310番地,0776-34-0418,歯科、小児歯科、歯科口腔外科,0,36.03931901,136.2376619,
335,玉井デンタルクリニック,タマイデンタルクリニック,歯科診療所,福井県福井市乾徳 4丁目4-7,0776-25-6221,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.07117664,136.2056058,
336,たまや矯正歯科,タマヤキョウセイシカ,歯科診療所,福井県福井市米松 1丁目11-1,0776-22-7945,矯正歯科,0,36.06601938,136.2399904,
337,坪田歯科医院,ツボタシカイイン,歯科診療所,福井県福井市二の宮 5-14-27,0776-27-2080,歯科、小児歯科,0,36.08590316,136.2087851,
338,遠矢歯科医院,トオヤシカイイン,歯科診療所,福井県福井市二の宮５丁目５－２５,0776-22-5772,歯科、小児歯科、歯科口腔外科,0,36.083638,136.207519,
339,栃木歯科医院,トチギシカイイン,歯科診療所,福井県福井市種池町 1-24-3,0776-35-8200,歯科,0,36.03749984,136.185359,
340,友影歯科クリニック,トモカゲシカクリニック,歯科診療所,福井県福井市大宮 3丁目1番25号,0776-22-0776,歯科、矯正歯科,0,36.08039574,136.2155567,
341,永井歯科医院,ナガイシカイイン,歯科診療所,福井県福井市若杉 2-1537,0776-36-2222,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.05662596,136.1882952,
342,なかひろ歯科クリニック,ナカヒロシカクリニック,歯科診療所,福井県福井市高木中央 3丁目816,0776-53-5040,歯科、小児歯科、歯科口腔外科,0,36.08926783,136.2384138,
343,中村歯科医院,ナカムラシカイイン,歯科診療所,福井県福井市松本 4-3-22,0776-24-2185,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.07140468,136.2189052,
344,中村歯科医院,ナカムラシカイイン,歯科診療所,福井県福井市大手 3-2-1,0776-27-0120,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.06344595,136.2211534,
345,なかむら歯科クリニック,ナカムラシカクリニック,歯科診療所,福井県福井市和田東 2丁目1528,0776-21-6480,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.0513542,136.2500451,
346,なむら歯科医院,ナムラシカイイン,歯科診療所,福井県福井市下荒井町 1-32,0776-38-3126,歯科,0,36.02492934,136.2082679,
347,西本歯科医院,ニシモトシカイイン,歯科診療所,福井県福井市石盛町 1016,0776-55-1833,歯科,0,36.11611253,136.2192325,
348,ノムデンタルクリニック,ノムデンタルクリニック,歯科診療所,福井県福井市飯塚町 30-23,0776-36-5454,歯科、小児歯科,0,36.06415904,136.1844363,
349,はじめ歯科診療所,ハジメシカシンリョウショ,歯科診療所,福井県福井市大手 2丁目7-15,0776-25-6480,歯科,0,36.06328409,136.2219011,
350,英歯科,ハナブサシカ,歯科診療所,福井県福井市手寄１丁目１０－１０,24-1357,歯科,0,36.05886942,136.2239487,
351,はまだ歯科クリニック,ハマダシカクリニック,歯科診療所,福井県福井市八重巻町 207,0776-56-4618,歯科口腔外科、歯科、矯正歯科,0,36.11518945,136.2219845,
352,はやし歯科医院,ハヤシシカイイン,歯科診療所,福井県福井市花堂南 1丁目11-34,0776-33-1118,歯科口腔外科、その他の科(歯科,0,36.03332828,136.2136335,
353,パリオ歯科なごみ,パリオシカナゴミ,歯科診療所,福井県福井市松城町12-7パリオCiTY 1F,0776-25-8818,歯科,0,36.06256303,136.2407638,
354,ヒガシダ歯科,ヒガシダシカ,歯科診療所,福井県福井市八重巻中町 20-7,0776-56-4747,歯科、小児歯科,0,36.10677535,136.2220019,
355,ひじりデンタルクリニック,ヒジリデンタルクリニック,歯科診療所,福井県福井市高木中央 2丁目701,0776‐63‐5515,歯科、小児歯科、歯科口腔外科,0,36.09325886,136.2341554,
356,平崎歯科,ヒラサキシカ,歯科診療所,福井県福井市大手 3丁目1-1 システム大手ビル2F,0776‐63‐5418,歯科、小児歯科、歯科口腔外科,0,36.06279987,136.2211047,
357,ヒロ歯科クリニック,ヒロシカクリニック,歯科診療所,福井県福井市文京 2丁目17-1,0776-25-4618,歯科、歯科口腔外科,0,36.0796379,136.2210331,
358,福井歯科医院,フクイシカイイン,歯科診療所,福井県福井市大願寺 3-9-15,0776-23-4123,歯科、小児歯科、歯科口腔外科,0,36.08435532,136.2276626,
359,福井市休日急患歯科診療所,フクイシキュウジツキュウカンシカシンリョウジョ,歯科診療所,福井県福井市大願寺３丁目４－１,0776-26-8468,歯科,0,36.08197082,136.2277023,
360,藤井歯科クリニック,フジイシカクリニック,歯科診療所,福井県福井市浅水町 106-9,0776-38-1123,歯科,0,36.00539819,136.2000065,
361,藤田歯科医院,フジタシカイイン,歯科診療所,福井県福井市四ツ井 2丁目9-18,0776-53-5006,歯科、小児歯科,0,36.06769211,136.2382372,
362,ふなばし歯科クリニック,フナバシシカクリニック,歯科診療所,福井県福井市舟橋黒竜 2丁目420,0776-27-1211,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.0994239,136.2130469,
363,文村歯科医院,フミムラシカイイン,歯科診療所,福井県福井市栄町 16-3,0776-56-1242,歯科,0,36.10771941,136.2242369,
364,文京清水歯科医院,ブンキョウシミズシカイイン,歯科診療所,福井県福井市文京 6丁目21-2,0776-24-6767,歯科,0,36.07641609,136.2007425,
365,前川歯科医院,マエガワシカイイン,歯科診療所,福井県福井市城東４丁目３－１７,0776-27-1116,歯科、小児歯科、歯科口腔外科,0,36.05765629,136.2353842,
366,松井歯科医院,マツイシカイイン,歯科診療所,福井県福井市灯明寺 1丁目2802,0776-24-0077,歯科、矯正歯科,0,36.0922153,136.2100924,
367,松下歯科医院,マツシタシカイイン,歯科診療所,福井県福井市日之出２丁目3-21,0776-21-6004,歯科、小児歯科、歯科口腔外科,0,36.061296,136.226409,
368,松田歯科医院,マツダシカイイン,歯科診療所,福井県福井市勝見 3-1-14,0776-25-0300,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.05562996,136.2303335,
369,松本歯科医院,マツモトシカイイン,歯科診療所,福井県福井市木田 2丁目1208,0776-35-6578,歯科,0,36.04517864,136.2221942,
370,丸田歯科,マルタシカ,歯科診療所,福井県福井市北四ツ居 1丁目34-21,0776‐52‐5552,歯科、小児歯科、歯科口腔外科,0,36.06490251,136.2484455,
371,三井歯科医院,ミツイシカイイン,歯科診療所,福井県福井市河増町 10-14-6,0776-52-0112,歯科,0,36.06300079,136.2546754,
372,三宅歯科医院,ミヤケシカイイン,歯科診療所,福井県福井市順化 1丁目9-21,0776-22-2795,歯科,0,36.06390852,136.2163482,
373,三好歯科,ミヨシシカ,歯科診療所,福井県福井市二の宮 4丁目23-5,0776-25-0101,歯科、矯正歯科、小児歯科,0,36.08459634,136.2143377,
374,みわ歯科クリニック,ミワシカクリニック,歯科診療所,福井県福井市志比口 2丁目11-13,0776-53-3845,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.07121409,136.2370189,
375,村井歯科,ムライシカ,歯科診療所,福井県福井市蓑町 16字大道ノ上125,0776-86-1616,歯科,0,36.12678905,136.0617789,
376,村上歯科医院,ムラカミシカイイン,歯科診療所,福井県福井市文京6-25-25,0776-50-2475,歯科、小児歯科、歯科口腔外科,0,36.07698442,136.200178,
377,村崎歯科医院,ムラサキシカイイン,歯科診療所,福井県福井市砂子坂町７－７５－１,0776-83-0033,歯科,0,36.143828,136.14782,
378,森瀬歯科医院,モリセシカイイン,歯科診療所,福井県福井市上野町 9-46,0776-83-0067,歯科、小児歯科,0,36.14293645,136.1476609,
379,森広歯科医院,モリヒロシカイイン,歯科診療所,福井県福井市順化 1丁目16-5,0776-24-5514,歯科,0,36.06474286,136.2150128,
380,森本歯科医院,モリモトシカイイン,歯科診療所,福井県福井市和田 2丁目710,0776-24-1838,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.0496736,136.2425925,
381,やしろ歯科クリニック,ヤシロシカクリニック,歯科診療所,福井県福井市渕 4丁目1113番地,0776-35-8888,歯科、小児歯科,0,36.0461205,136.184329,
382,矢部歯科医院,ヤベシカイイン,歯科診療所,福井県福井市高木中央 2丁目3508,0776-53-2371,歯科、小児歯科,0,36.09036178,136.2357096,
383,山崎歯科医院,ヤマザキシカイイン,歯科診療所,福井県福井市町屋 3丁目6-13,0776-21-6262,歯科,0,36.07763525,136.2255015,
384,山田歯科医院,ヤマダシカイイン,歯科診療所,福井県福井市北四ツ居 1丁目8-23,0776-54-8008,歯科、矯正歯科、小児歯科,0,36.06352982,136.2432031,
385,Ｙａｍａｍｏｔｏ　Ｄｅｎｔａｌ　Ｓｔｕｄｉｏ,ヤマモトデンタルスタジオ,歯科診療所,福井県福井市照手１丁目１０－２０,0776-22-5792,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.06741779,136.210595,
386,ゆき歯科クリニック,ユキシカクリニック,歯科診療所,福井県福井市羽水１－１０２－１,0776-50-6203,歯科、小児歯科、歯科口腔外科,0,36.0426755,136.2270779,
387,よしだ歯科クリニック,ヨシダシカクリニック,歯科診療所,福井県福井市八ツ島町 31-406-4,0776-30-7373,歯科、小児歯科,0,36.08235792,136.2020605,
388,リノデンタルオフィス福井,リノデンタルオフィスフクイ,歯科診療所,福井県福井市大手３丁目７番１号　福井県繊協ビル２階,0776-50-6630,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.06320724,136.2181264,
389,わかすぎ歯科クリニック,ワカスギシカクリニック,歯科診療所,福井県福井市若杉 4丁目813番地,0776-33-0003,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.05663298,136.1857107,
,コパクリニック,,,,,,,,,
,一般財団法人　日本健康増進財団　福井市地域交流プラザ内診療所,,,,,,,,,
,すこやか内科クリニック,,,,,,,,,
,三船内科クリニック,,,,,,,,,
,ひらざわ内科ハートクリニック,,,,,,,,,
,育ちのクリニック津田,,,,,,,,,
,Ｍクリニック,,,,,,,,,
,みさわクリニック,,,,,,,,,
,まつむら眼科クリニック,,,,,,,,,
,はまだ内科クリニック,,,,,,,,,
,"全国土木建築国民健康保険組合
関西健康管理センター",,,,,,,,,
,シン内視鏡・外科クリニック,,,,,,,,,
,二の宮アイビジョンクリニック,,,,,,,,,
,パークスみなみ　医務室,,,,,,,,,
,たんぽぽ苑　医務室,,,,,,,,,
,Luna.　S　Clinic,,,,,,,,,
,つながるクリニック,,,,,,,,,
,一般財団法人日本予防医学協会附属診療所　ウェルビーイング南森町,,,,,,,,,
,一般財団法人日本健康増進財団　恵比寿ハートビル診療所,,,,,,,,,
,清水内科循環器医院,,,,,,,,,
,パナソニック森田健康管理室,,,,,,,,,
,ＴＣＢ　東京中央美容外科・ＴＣＢ　スキンクリニック　福井院,,,,,,,,,
,医療法人財団　京映会　京橋クリニック,,,,,,,,,
,医療法人知音会　御池クリニック,,,,,,,,,
,医療法人社団せいおう会　愛知健診クリニック,,,,,,,,,
,エミナルクリニック福井院,,,,,,,,,
,やしろファミリークリニック,,,,,,,,,
,西ウイミンズクリニック,,,,,,,,,
,ふくい輝クリニック,,,,,,,,,
,北陸電力株式会社福井診療所,,,,,,,,,
,広瀬眼科,,,,,,,,,
,六条ホームやわらぎ医務室,,,,,,,,,
,福井アットホームクリニック,,,,,,,,,
,みねぎし皮ふ科形成外科,,,,,,,,,
,ケアラボクリニック,,,,,,,,,
,ふくい内視鏡・胃腸クリニック,,,,,,,,,
,ふくいはるえ内科・泌尿器科クリニック,,,,,,,,,
,センコー株式会社北陸支店福井営業所　日本予防医学協会診療所,,,,,,,,,
,メンタルクリニックもりた,,,,,,,,,
,木田整形外科,,,,,,,,,
,八代皮フ科クリニック,,,,,,,,,
,さくら通り整形外科クリニック,,,,,,,,,
,一般財団法人　日本健康増進財団　福井市地域交流プラザ内診療所,,,,,,,,,
,湘南美容クリニック福井院,,,,,,,,,
,舟橋内科クリニック,,,,,,,,,
,甲信越福山通運株式会社福井支店　日本予防医学協会診療所,,,,,,,,,
,ヒロセクリニック,,,,,,,,,
,けやき在宅クリニック,,,,,,,,,
