No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
2160,飲食店,社交飲食,,メイド　Ｂａｒ　Ｌｉｌｉｔｈ,910-0023,福井市順化２丁目１２―６パークサイドビル２Ｆ,0776-28-3455,福井市指令生衛第20-2-957号,3/24/21,4/30/26
2161,密封包装食品製造業,密封包装食品製造業,,メーコック有里,918-8026,福井市渕４丁目８０４,0776-35-8305,福井市指令生衛第21-4-768号,3/9/22,5/31/28
2162,菓子製造業,一般,,メゾンドブランシュローズガーデン,910-0804,福井市高木中央３丁目701メゾンドブランシュローズガーデン２Ｆ,0776-57-8000,福井市指令生衛第19-2-626号,11/25/19,12/31/25
2163,飲食店営業,一般食堂・レストラン等,結婚式場、レストラン,メゾンドブランシュローズガーデン　第一厨房,910-0804,福井市高木中央３丁目７０１,0776-57-8000,福井市指令生衛第21-4-492号,11/4/21,12/31/27
2164,飲食店営業,一般食堂・レストラン等,結婚式場,メゾンドブランシュローズガーデン　第二厨房,910-0804,福井市高木中央３丁目７０１,0776-57-8000,福井市指令生衛第24-4-236号,10/24/24,12/31/29
2165,飲食店営業,一般食堂・レストラン等,集団給食施設,メフォス　０１７０７号店,910-0064,福井市新田塚町５０６,0776-22-8367,福井市指令生衛第21-4-505号,11/4/21,1/31/28
2166,飲食店営業,一般食堂・レストラン等,給食施設,メフォス　０１８０８号店,918-8135,福井市下六条町１８－３２,0776-41-8400,福井市指令生衛第22-4-50号,6/7/22,8/31/27
2167,飲食店営業,一般食堂・レストラン等,給食施設,メフォス　０２３６４号店,910-3113,福井市江上町５５－５　新田塚ハウス（１Ｆ）,0776-28-3912,福井市指令生衛第21-4-181号,7/6/21,7/31/26
2168,飲食店営業,一般食堂・レストラン等,社員食堂,メフォス　０２３９６号店,910-0108,福井市山室町６９－１,0776-55-3818,福井市指令生衛第22-4-124号,7/13/22,9/30/27
2169,飲食店営業,その他,集団給食施設,メフォス　０２７４４号店,910-0857,福井市豊島１丁目２－１３,0776-30-0033,福井市指令生衛第23-4-67号,5/29/23,7/31/28
2170,飲食店,食堂,,メフォス　０２７４７号店,910-0855,福井市西方１丁目２－１１いちご在宅支援センター４Ｆ,0776-27-7523,福井市指令生衛第19-2-214号,6/20/19,7/31/25
2171,飲食店営業,一般食堂・レストラン等,給食施設,メフォス　１０００６号店,910-3113,福井市江上町５５―２０―４　福井病院（精神科）,0776-59-2711,福井市指令生衛第21-4-180号,7/6/21,7/31/26
2172,飲食店営業,一般食堂・レストラン等,集団給食,メフォス　１０００７号店,910-0067,福井市新田塚１丁目４２－１,0776-21-1372,福井市指令生衛第21-4-507号,11/18/21,1/31/28
2173,飲食店,食堂,,メフォス　１００７６号店,918-8136,福井市天王町２１－１－１,,福井市指令生衛第20-1-483号,3/24/21,8/31/27
2174,飲食店,食堂,,メフォス　１００７７号店,919-0323,福井市太田町１４－１,,福井市指令生衛第20-1-484号,3/24/21,8/31/27
2175,飲食店,食堂,,メフォス　１０２２７号店,910-3133,福井市石新保町１３－１７,,福井市指令生衛第20-1-485号,3/30/21,7/31/26
2176,飲食店,食堂,,メフォス　１０２２９号店,910-3143,福井市砂子坂町６－２０,,福井市指令生衛第20-1-486号,3/30/21,7/31/26
2177,飲食店,食堂,,メフォス　１０２９５号店,910-0827,福井市藤島町４６－１３－１,,福井市指令生衛第20-1-487号,4/8/21,12/31/27
2178,飲食店,食堂,,メフォス　１０３９４号店,910-2165,福井市東郷ニケ町３７－１８,,福井市指令生衛第20-1-488号,4/8/21,7/31/27
2179,飲食店,食堂,,メフォス　１０３９５号店,918-8182,福井市浅水二日町１３１－１８,,福井市指令生衛第20-1-489号,4/8/21,10/31/27
2180,飲食店,食堂,,メフォス　１０４１０号店,910-0143,福井市下森田新町１９－６７,,福井市指令生衛第20-1-473号,3/18/21,9/30/27
2181,飲食店,食堂,,メフォス　１０４７０号店,910-2347,福井市境寺町３６－３,,福井市指令生衛第20-1-490号,3/24/21,8/31/27
2182,飲食店,食堂,,メフォス　１０４９６号店,918-8238,福井市和田１丁目２－１,,福井市指令生衛第20-1-472号,3/18/21,7/31/26
2183,飲食店,食堂,,メフォス　１０４９７号店,910-0063,福井市灯明寺１丁目２１０１,,福井市指令生衛第20-1-475号,3/18/21,1/31/27
2184,飲食店営業,一般食堂・レストラン等,給食施設,メフォス　１０６５４号店,918-8055,福井市若杉４丁目１４３,0776-35-2821,福井市指令生衛第21-3-327号,3/17/22,5/31/28
2185,飲食店営業,その他,給食施設,メフォス　１０７１１号店,918-8205,福井市北四ツ居３丁目１５－１７,0776-23-2662,福井市指令生衛第22-3-375号,3/27/23,7/31/29
2186,飲食店営業,その他,給食施設,メフォス　１０７１２号店,918-8011,福井市月見３丁目９－１,0776-23-2662,福井市指令生衛第22-3-376号,3/27/23,10/31/29
2187,飲食店営業,一般食堂・レストラン等,給食施設,メフォス東日本　１０１８１号店,918-8047,福井市久喜津町６４－２５－１,0776-23-2662,福井市指令生衛第22-4-437号,3/16/23,5/31/29
2188,飲食店営業,その他,集団給食施設,メフォス東日本　１０３０５,910-0017,福井市文京４丁目９－１４,0776-22-4730,福井市指令生衛第24-4-294号,12/20/24,2/28/30
2189,飲食店,食堂,,メフォス東日本　１０４６９号店,910-0064,福井市松本４丁目９－２１,0776-63-6215,福井市指令生衛第19-1-523号,3/25/20,1/31/27
2190,飲食店営業,その他,集団給食施設,メフォス東日本　１０７００号店,910-0067,福井市新田塚２丁目４６－２６認定こども園　新田塚幼稚園,0776-23-2662,福井市指令生衛第22-3-362号,3/30/23,1/31/30
2191,飲食店営業,その他,集団給食施設,メフォス東日本１０３０７,910-0029,福井市日光２丁目９－７,0776-21-2041,福井市指令生衛第24-4-293号,12/12/24,2/28/31
2192,飲食店,食堂,,メフォス東日本１０３６６号店,918-8057,福井市加茂河原３丁目１２―９,0776-97-8663,福井県指令福保第1910061号,3/18/19,5/31/25
2193,飲食店,軽食,,メルサ,918-8231,福井市問屋町３丁目410福井テレビジョン放送㈱　１Ｆ,0776-25-6296,福井市指令生衛第20-2-247号,6/26/20,7/31/25
2194,乳製品製造業,一般,,めれんげ　ＦＡＣＴＯＲＹ,910-0804,福井市高木中央２丁目４００７,0776-58-2282,福井市指令生衛第20-1-97号,6/5/20,12/31/26
2195,菓子製造業,一般,,めれんげ　ＦＡＣＴＯＲＹ,910-0804,福井市高木中央２丁目４００７,0776-58-2282,福井市指令生衛第21-1-56号,5/21/21,12/31/26
2196,アイスクリーム類製造業,アイスクリーム類製造業,,めれんげ　ＦＡＣＴＯＲＹ,910-0804,福井市高木中央２丁目４００７,0776-58-2282,福井市指令生衛第22-3-6号,4/22/22,12/31/28
2197,飲食店営業,一般食堂・レストラン等,そば屋,めん茶房　さえずり,910-3622,福井市風巻町２７－２,0776-98-4385,福井市指令生衛第23-4-537号,3/26/24,6/30/29
2198,麺類製造業,麺類製造業,,めん茶房　さえずり,910-3622,福井市風巻町２７－２,0776-98-4385,福井市指令生衛第23-4-538号,3/26/24,6/30/29
2199,菓子製造業,菓子製造業,,めん茶房　さえずり,910-3622,福井市風巻町２７－２,0776-98-4385,福井市指令生衛第24-3-40号,4/16/24,6/30/29
2200,飲食店営業,一般食堂・レストラン等,麺類,めん房つるつる　開発店,910-0843,福井市西開発３丁目３１８,0776-54-3332,福井市指令生衛第23-4-267号,10/6/23,12/31/28
2201,飲食店営業,一般食堂・レストラン等,麺類屋,めん房つるつる　江戸店,910-0854,福井市御幸４丁目１９－１,0776-23-6045,福井市指令生衛第24-4-9号,5/1/24,7/31/29
2202,飲食店営業,一般食堂・レストラン等,そば屋,めん房つるつる　明治店,918-8054,福井市加茂河原町３０－１－４,0776-35-0880,福井市指令生衛第22-4-456号,3/9/23,5/31/28
2203,飲食店営業,一般食堂・レストラン等,麵類,めん房つるつる　明新館,910-0015,福井市二の宮５丁目１４－１１,0776-21-6022,福井市指令生衛第23-4-266号,10/6/23,1/31/29
2204,飲食店営業,その他,喫茶店,モーニングトマト,910-0006,福井市中央１丁目９－３０大岡越前ビル　２Ｆ,0776-23-5571,福井市指令生衛第21-4-375号,9/30/21,11/30/26
2205,飲食店営業,その他,ハンバーガー類販売,モスバーガー　福井エルパ店,910-0836,福井市大和田２丁目１２１２エルパ１Ｆ,0776-57-2530,福井市指令生衛第21-4-406号,10/26/21,12/31/26
2206,飲食店営業,その他,ファーストフード,モスバーガー　福井やしろ店,918-8026,福井市渕４丁目１２０１,0776-34-4810,福井市指令生衛第21-4-753号,3/15/22,5/31/27
2207,菓子製造業,一般,,もち吉　福井店,910-0837,福井市高柳１丁目１０３,0776-57-1022,福井市指令生衛第19-1-500号,3/13/20,12/31/25
2208,飲食店営業,その他,居酒屋,もてなし居酒屋　みけそん,910-0001,福井市大願寺１丁目５－１９,0776-89-1019,福井市指令生衛第22-4-315号,11/24/22,1/31/28
2209,飲食店,軽食,,モナーク,910-0028,福井市学園２丁目８―４,0776-27-5558,福井市指令生衛第20-2-714号,1/21/21,2/28/26
2210,飲食店営業,その他,スナック,もみじ,910-0023,福井市順化１丁目１２－４福ビル１Ｆ,,福井市指令生衛第23-3-283号,12/19/23,3/31/29
2211,飲食店営業,その他,居酒屋,もみじ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　横丁７,,福井市指令生衛第24-3-366号,1/31/25,11/30/30
2212,飲食店営業,一般食堂・レストラン等,中華料理店,もりた,910-0017,福井市文京１丁目５－１０,0776-22-5813,福井市指令生衛第22-4-313号,11/22/22,1/31/29
2213,菓子製造業,一般,,モルフォパン教室,910-0842,福井市開発３丁目701,0776-54-0989,福井市指令生衛第20-2-544号,12/17/20,12/31/25
2214,飲食店営業,一般食堂・レストラン等,洋食店,モンシェルトントンカトー,910-0006,福井市中央３丁目１４－１０,0776-23-5031,福井市指令生衛第23-4-198号,9/7/23,11/30/28
2215,飲食店,社交飲食,,もんぜん,918-8021,福井市門前２丁目４２３―２,0776-33-6052,福井市指令生衛第20-2-79号,4/23/20,5/31/25
2216,菓子製造業,一般,,モントリオール　成和店,918-8239,福井市成和１丁目3109,0776-27-2566,福井市指令生衛第20-2-184号,7/6/20,7/31/25
2217,飲食店,軽食,,モントリオール　成和店,918-8239,福井市成和１丁目3109,0776-27-2566,福井市指令生衛第20-2-185号,7/6/20,7/31/25
2218,菓子製造業,一般,,モンモランシー,918-8057,福井市加茂河原３丁目１３―１６,0776-36-2003,福井市指令生衛第19-2-98号,4/24/19,5/31/25
2219,飲食店営業,一般食堂・レストラン等,焼き鳥店,やきとり　あきお,910-0017,福井市文京２丁目２－１５,0776-25-3366,福井市指令生衛第23-4-370号,12/14/23,2/28/29
2220,飲食店営業,一般食堂・レストラン等,焼鳥屋,やきとり　ごとう,910-0023,福井市順化１丁目１４－３ＮＯＶＡビル１Ｆ,0776-21-0510,福井市指令生衛第21-4-655号,1/20/22,3/31/27
2221,飲食店営業,その他,焼き鳥屋,やきとり　やすぎ家,910-0006,福井市中央１丁目２２－６松浦ビル１Ｆ－Ａ,0776-28-6650,福井市指令生衛第23-4-287号,10/17/23,11/30/28
2222,飲食店営業,その他,焼き鳥テイクアウト店,やきとり　吉田,918-8046,福井市運動公園１丁目６０２,0776-36-8687,福井市指令生衛第23-4-484号,3/27/24,5/31/29
2223,飲食店営業,その他,焼鳥店,やきとり　治郎吉,910-0019,福井市春山２丁目２２－１２,0776-23-8903,福井市指令生衛第22-4-400号,1/31/23,4/30/28
2224,飲食店営業,その他,焼きとり屋,やきとりのやまもと,910-0015,福井市二の宮１丁目１－１３,0776-25-5226,福井市指令生衛第21-4-466号,11/18/21,1/31/27
2225,飲食店営業,その他,やきとり店,やきとりの名門　秋吉　福井駅前店,910-0005,福井市大手２丁目５－１６,0776-21-3572,福井市指令生衛第21-4-326号,9/15/21,11/30/26
2226,飲食店営業,その他,焼き鳥店,やきとりの名門　秋吉　福井片町店,910-0023,福井市順化２丁目７－１,0776-21-3573,福井市指令生衛第24-4-439号,2/20/25,4/30/30
2227,飲食店,社交飲食,,やきとりの名門　秋𠮷　種池店,918-8031,福井市種池２丁目７１２,0776-35-7020,福井市指令生衛第19-1-315号,12/6/19,5/31/25
2228,飲食店,社交飲食,,やきとり千吉,910-0001,福井市大願寺３丁目９－１３,0776-24-2548,福井市指令生衛第20-2-760号,1/21/21,1/31/26
2229,飲食店営業,その他,焼き鳥店,やきとり千吉,910-0833,福井市新保１丁目１５１０－２,0776-52-1646,福井市指令生衛第23-4-275号,10/26/23,12/31/28
2230,飲食店,社交飲食,,やきとり大将,910-0023,福井市順化１丁目１８―８開明ビル１Ｆ,0776-25-5094,福井市指令生衛第21-1-27号,4/28/21,3/31/27
2231,飲食店営業,その他,焼鳥居酒屋,やきとり雷禅,910-0023,福井市順化１丁目９－８滝の街ビル１階,0776-63-6094,福井市指令生衛第23-4-413号,1/11/24,3/31/29
2232,飲食店営業,その他,焼き肉店,やきにく　なな楽,910-0015,福井市二の宮４丁目２６－２４,0776-50-2861,福井市指令生衛第24-3-92号,5/24/24,1/31/31
2233,飲食店営業,一般食堂・レストラン等,焼肉店,やきにく居酒屋　陽炎,910-0023,福井市順化２丁目２２－２１片町きはちビル　１Ｆ,,福井市指令生衛第22-3-280号,12/5/22,4/30/28
2234,飲食店営業,その他,焼肉,やきにく尋,918-8114,福井市羽水２丁目８０２,,福井市指令生衛第22-3-149号,8/22/22,10/31/27
2235,そうざい製造業,そうざい製造業,,やきにく尋,918-8114,福井市羽水２丁目８０２,0776-77-3308,福井市指令生衛第22-3-314号,1/16/23,10/31/28
2236,食肉販売業,食肉販売業,,やきにく尋,918-8114,福井市羽水２丁目８０２,0776-77-3308,福井市指令生衛第22-3-315号,2/17/23,10/31/29
2237,飲食店営業,その他,和食店,やき処　志喜,918-8073,福井市安田町西上田８２―１,0776-37-1666,福井市指令生衛第21-4-1号,6/1/21,5/31/27
2238,飲食店営業,一般食堂・レストラン等,焼肉店,やすきち,910-0804,福井市高木中央２丁目３５０６－２,0776-52-5455,福井市指令生衛第22-4-225号,10/25/22,12/31/27
2239,魚介類販売業,魚介類販売業,,ヤスサキ　ワイプラザグルメ館　松本店,910-0003,福井市松本３丁目１６－５７,0776-28-2001,福井市指令生衛第23-4-366号,11/29/23,1/31/30
2240,飲食店営業,仕出し屋・弁当屋,スーパーマーケット,ヤスサキ　ワイプラザグルメ館　松本店,910-0003,福井市松本３丁目１６－５７,0776-28-2001,福井市指令生衛第23-4-367号,11/29/23,1/31/30
2241,食肉販売業,食肉販売業,,ヤスサキ　ワイプラザグルメ館　松本店,910-0003,福井市松本３丁目１６－５７,0776-28-2001,福井市指令生衛第23-4-368号,11/29/23,1/31/30
2242,飲食店営業,仕出し屋・弁当屋,スーパーマーケット,ヤスサキ　ワイプラザグルメ館　松本店,910-0003,福井市松本３丁目１６－５７,0776-28-2001,福井市指令生衛第23-4-359号,11/29/23,1/31/30
2243,菓子製造業,菓子製造業,,ヤスサキ　ワイプラザグルメ館　松本店,910-0003,福井市松本３丁目１６－５７,0776-28-2001,福井市指令生衛第23-4-358号,11/29/23,1/31/30
2244,飲食店営業,一般食堂・レストラン等,和食店,やっこ,918-8007,福井市足羽１丁目１４―２１,0776-36-3730,福井市指令生衛第21-4-301号,8/31/21,10/31/26
2245,菓子製造業,菓子製造業,,やつどき,910-0856,福井市勝見３丁目６―２５,,福井市指令生衛第21-4-75号,6/15/21,7/31/26
2246,飲食店営業,一般食堂・レストラン等,和食店,やなぎ町,910-0023,福井市順化２丁目１２－１２,0776-21-3087,福井市指令生衛第22-4-388号,1/26/23,4/30/28
2247,麺類製造業,麺類製造業,,ヤマサ製麺,918-8116,福井市大町２丁目１０１２,0776-36-1468,福井市指令生衛第23-4-139号,8/31/23,10/31/29
2248,飲食店営業,一般食堂・レストラン等,食堂,やまだ食堂,918-8045,福井市福新町701,0776-36-0740,福井市指令生衛第21-4-31号,6/1/21,5/31/27
2249,魚介類販売業,一般,,やまちょう,910-3135,福井市両橋屋町２３－４０,0776-86-1234,福井市指令生衛第20-1-134号,7/10/20,7/31/25
2250,そうざい製造業,一般,,やまちょう,910-3135,福井市両橋屋町２３－４０,0776-86-1234,福井市指令生衛第20-1-209号,8/25/20,7/31/26
2251,飲食店営業,旅館,旅館,やまちょう,910-3135,福井市両橋屋町２３－４０,0776-86-1234,福井市指令生衛第24-4-107号,6/12/24,7/31/29
2252,飲食店,仕出し弁当,,やまに,910-0017,福井市文京３丁目６―２４,0776-22-3600,福井市指令生衛第20-2-797号,12/17/20,2/28/26
2253,魚介類販売業,一般,,やまに,910-0017,福井市文京３丁目６―２４,0776-22-3600,福井市指令生衛第20-2-798号,12/17/20,2/28/26
2254,飲食店営業,一般食堂・レストラン等,喫茶店,やまぼうし,910-0138,福井市東森田２丁目４０８,0776-58-2108,福井市指令生衛第21-4-201号,7/14/21,9/30/26
2255,飲食店営業,一般食堂・レストラン等,食堂,やまよし,918-8023,福井市西谷１丁目１７０２,0776-34-4117,福井市指令生衛第21-4-750号,3/17/22,5/31/27
2256,飲食店営業,その他,居酒屋,やま三,910-0015,福井市二の宮１丁目１－１７,,福井市指令生衛第24-4-295号,12/5/24,1/31/30
2257,飲食店営業,一般食堂・レストラン等,お好み焼店,やま膳,910-0017,福井市文京５丁目１４－３３,0776-24-4111,福井市指令生衛第21-3-201号,12/7/21,1/31/27
2258,飲食店営業,一般食堂・レストラン等,和食店,やま田,910-0006,福井市中央３丁目１１－１８,0776-21-3440,福井市指令生衛第23-4-202号,9/8/23,11/30/28
2259,飲食店,食堂,,やよい軒　福井種池店,918-8031,福井市種池１丁目1701,0776-32-6500,福井市指令生衛第20-2-36号,4/23/20,5/31/25
2260,飲食店営業,一般食堂・レストラン等,食堂,やよい軒　福井大和田店,910-0836,福井市大和田１丁目１１０３,0776-57-8005,福井市指令生衛第23-4-300号,10/19/23,12/31/28
2261,飲食店営業,その他,カラオケ喫茶,ゆうせん,910-0138,福井市東森田３丁目２１２,0776-56-3635,福井市指令生衛第22-4-117号,6/29/22,9/30/27
2262,麺類製造業,一般,,ゆうたろう,910-0023,福井市順化１丁目１６－１４　２Ｆ,,福井市指令生衛第21-1-31号,5/19/21,3/31/27
2263,飲食店,社交飲食,,ユーミ,910-0023,福井市順化１丁目１７―１２ベルトピア片町ビル３Ｆ,0776-24-9299,福井市指令生衛第20-2-876号,3/24/21,3/31/26
2264,飲食店営業,一般食堂・レストラン等,和食料理店,ゆずりは,910-0023,福井市順化２丁目１９－１３ウエルカムビル１Ｆ,0776-27-6798,福井市指令生衛第21-4-721号,4/25/22,4/30/27
2265,飲食店営業,一般食堂・レストラン等,しゃぶしゃぶ店,ゆず庵　福井城東店,910-0853,福井市城東４丁目２９－１５,0776-50-3735,福井市指令生衛第21-3-178号,11/8/21,7/31/27
2266,飲食店営業,その他,蕎麦屋,ゆで太郎もつ次郎　福井種池店,918-8031,福井市種池１丁目２１０７,0776-50-2229,福井市指令生衛第22-3-35号,5/9/22,5/31/27
2267,飲食店,軽食,,ユトリ珈琲店,910-0843,福井市西開発２丁目102,0776-52-5557,福井市指令生衛第20-2-618号,11/26/20,12/31/25
2268,飲食店営業,その他,喫茶店,ユトリ珈琲店　アオッサ店,910-0858,福井市手寄１丁目４－１ＡＯＳＳＡ１Ｆ,0776-20-2122,福井市指令生衛第22-4-51号,5/19/22,7/31/27
2269,飲食店営業,その他,喫茶店,ユトリ珈琲店　福井南８号バイパス店,919-0321,福井市下河北町４字蓼野２－１,0776-50-6650,福井市指令生衛第21-3-167号,10/25/21,8/31/27
2270,飲食店営業,その他,喫茶店,ユトリ珈琲店　本店,910-0122,福井市石盛町８１７,0776-56-8531,福井市指令生衛第22-4-123号,7/7/22,9/30/27
2271,飲食店営業,その他,喫茶店,ユトリ珈琲店　和田店,918-8238,福井市和田２丁目１０１,0776-29-0333,福井市指令生衛第24-4-25号,4/30/24,7/31/29
2272,飲食店営業,その他,喫茶店,ユトリ珈琲店アオッサ店,910-0858,福井市手寄１丁目４－１アオッサビル１階,0776-20-2122,福井市指令生衛第24-3-362号,1/24/25,7/31/30
2273,飲食店営業,その他,バー,ゆる八,910-0023,福井市順化２丁目１２－１４プリンスビル１Ｆ　１０３,0776-25-3040,福井市指令生衛第24-4-424号,2/18/25,4/30/30
2274,飲食店営業,その他,居酒屋,ユレトロ,910-0005,福井市大手２丁目３４１１屋台村Ｆ,,福井市指令生衛第23-3-333号,2/5/24,11/30/29
2275,飲食店営業,その他,お好み焼き,ようき,918-8027,福井市福町３１－１－５３,0776-34-3810,福井市指令生衛第21-4-782号,3/17/22,5/31/27
2276,飲食店営業,一般食堂・レストラン等,食堂,ヨーロッパ軒　みゆき分店,910-0853,福井市城東２丁目１３－１５,0776-21-4683,福井市指令生衛第23-4-30号,5/16/23,7/31/28
2277,密封包装食品製造業,密封包装食品製造業,,ヨーロッパ軒　やしろ支店,918-8026,福井市渕４丁目１１０８,0776-35-0466,福井市指令生衛第22-4-459号,3/16/23,5/31/28
2278,飲食店営業,一般食堂・レストラン等,洋食店,ヨーロッパ軒　やしろ支店,918-8026,福井市渕４丁目１１０８,0776-35-0466,福井市指令生衛第23-4-536号,4/4/24,5/31/29
2279,飲食店,食堂,,ヨーロッパ軒　花月分店,910-0022,福井市花月２丁目３―１８,0776-21-4684,福井市指令生衛第20-2-1021号,3/24/21,4/30/26
2280,密封包装食品製造業,密封包装食品製造業,,ヨーロッパ軒　花月分店,910-0022,福井市花月２丁目３－１８,0776-21-4684,福井市指令生衛第22-4-421号,2/21/23,4/30/28
2281,飲食店営業,一般食堂・レストラン等,洋食店,ヨーロッパ軒　花堂分店,918-8023,福井市西谷１丁目１６０３,0776-35-4500,福井市指令生衛第21-4-758号,3/9/22,5/31/27
2282,飲食店営業,仕出し屋・弁当屋,洋食店,ヨーロッパ軒　幾久店,910-0017,福井市文京１丁目４４－１１内田ビル１Ｆ,0776-21-4682,福井市指令生衛第23-4-346号,11/28/23,1/31/29
2283,飲食店営業,一般食堂・レストラン等,洋食店,ヨーロッパ軒　三郎丸分店,910-0033,福井市三郎丸１丁目１３１５,0776-27-0230,福井市指令生衛第21-4-587号,12/8/21,2/28/27
2284,密封包装食品製造業,密封包装食品製造業,,ヨーロッパ軒　総本店,910-0023,福井市順化１丁目７－４,0776-21-4681,福井市指令生衛第22-4-387号,1/25/23,3/31/28
2285,飲食店営業,一般食堂・レストラン等,食堂,ヨーロッパ軒　総本店,910-0023,福井市順化１丁目７－４,0776-21-4681,福井市指令生衛第24-4-348号,1/16/25,3/31/30
2286,飲食店営業,一般食堂・レストラン等,大衆食堂,ヨーロッパ軒　大宮分店,910-0016,福井市大宮３丁目１４－１１,0776-23-3888,福井市指令生衛第24-4-311号,12/5/24,2/28/30
2287,飲食店営業,一般食堂・レストラン等,洋食屋,ヨーロッパ軒　大和田分店,910-0836,福井市大和田２丁目４０２,0776-52-1468,福井市指令生衛第21-4-452号,10/26/21,12/31/26
2288,飲食店,食堂,,ヨーロッパ軒　豊島分店,910-0857,福井市豊島２丁目３－３,0776-21-4608,福井市指令生衛第20-2-238号,6/26/20,7/31/25
2289,飲食店営業,一般食堂・レストラン等,洋食レストラン,ヨーロッパ軒　木田分店,918-8106,福井市木田町１７１３,0776-35-4688,福井市指令生衛第22-4-151号,7/27/22,10/31/28
2290,密封包装食品製造業,密封包装食品製造業,,ヨーロッパ軒　木田分店,918-8106,福井市木田町１７１３,0776-35-4688,福井市指令生衛第24-4-137号,7/25/24,10/31/29
2291,飲食店営業,一般食堂・レストラン等,お食事処（飲食）,よし,910-0026,福井市光陽４丁目８－２７,0776-22-7794,福井市指令生衛第21-4-609号,12/22/21,2/28/27
2292,飲食店営業,その他,からあげ専門店,よしおのからあげ　運動公園店,918-8027,福井市福１丁目２８０１花の湯駐車場内店舗,0776-50-2616,福井市指令生衛第22-3-268号,11/28/22,5/31/28
2293,飲食店営業,一般食堂・レストラン等,食堂,よしおの唐揚げ,910-0016,福井市大宮２丁目２０－２０八木トシ２ビル　１０２号室,0776-25-5280,福井市指令生衛第21-3-111号,9/24/21,2/28/27
2294,飲食店営業,その他,鉄板焼屋,よしな,910-0005,福井市大手２丁目５－３,0776-28-3778,福井市指令生衛第24-4-275号,11/7/24,11/30/29
2295,そうざい製造業,そうざい製造業,,よしな,910-0005,福井市大手２丁目５－３,0776-28-3778,福井市指令生衛第24-3-294号,11/7/24,11/30/29
2296,飲食店営業,一般食堂・レストラン等,レストラン,よつば,910-0006,福井市中央３丁目４－２０アズイン福井　１Ｆ,,福井市指令生衛第24-3-105号,6/7/24,11/30/29
2297,そうざい製造業,そうざい製造業,,よつば,910-0006,福井市中央３丁目４－２０アズイン福井　１Ｆ,,福井市指令生衛第24-3-106号,6/7/24,11/30/29
2298,飲食店営業,その他,カフェ,ヨリバ（ＹＯＲＩＶＥＲ）,910-0006,福井市中央２丁目５－２７,0776-76-7021,福井市指令生衛第23-3-319号,3/11/24,11/30/30
2299,菓子製造業,菓子製造業,,よ感,910-0134,福井市上野本町２丁目８０５,,福井市指令生衛第24-3-186号,8/19/24,9/30/30
2300,飲食店営業,一般食堂・レストラン等,イタリア料理,ラ・ガジガジ,910-0804,福井市高木中央１丁目２４０１－１,0776-54-7460,福井市指令生衛第24-4-274号,11/21/24,12/31/29
2301,飲食店営業,一般食堂・レストラン等,食堂,ラートハウス,910-0005,福井市大手３丁目１０－１福井市役所　本館地下１Ｆ,0776-97-9928,福井市指令生衛第24-4-203号,10/1/24,11/30/29
2302,飲食店営業,一般食堂・レストラン等,ラーメン屋,ラーメン　ガボる,918-8204,福井市南四ツ居１丁目１１－２,,福井市指令生衛第24-3-353号,1/16/25,7/31/30
2303,飲食店営業,一般食堂・レストラン等,ラーメン屋,ラーメン　池田屋,910-0028,福井市学園２丁目６－１,,福井市指令生衛第22-4-462号,3/22/23,5/31/28
2304,飲食店,めん類,,ラーメンａｎｄＢａｒ　Ｄ．Ｄ,918-8014,福井市花堂中２丁目２０－１０,,福井市指令生衛第20-1-110号,6/19/20,10/31/25
2305,飲食店営業,一般食堂・レストラン等,中華ラーメン店,ラーメンギョーザ寿楽,910-0017,福井市文京３丁目１４－１明春コーポ１０５　１Ｆ,0776-26-3988,福井市指令生衛第21-4-613号,12/22/21,2/28/27
2306,飲食店営業,一般食堂・レストラン等,ラーメン店,ラーメンまこと屋　８号線福井開発店,910-0842,福井市開発３丁目３３０７－１,0776-43-3389,福井市指令生衛第24-3-271号,10/8/24,12/31/29
2307,飲食店営業,一般食堂・レストラン等,ラーメン屋,ラーメンムラナカ,910-0017,福井市文京５丁目１３－３８ハイシティ文京,,福井市指令生衛第21-3-20号,6/25/21,1/31/27
2308,飲食店営業,一般食堂・レストラン等,ラーメン店,らーめん岩本屋　やしろ店,918-8026,福井市渕１丁目４２１４,0776-43-0039,福井市指令生衛第22-4-452号,3/7/23,5/31/28
2309,飲食店,めん類,,ラーメン山岡家　福井大和田店,910-0836,福井市大和田１丁目１５０５,0776-97-6596,福井市指令生衛第20-1-309号,11/25/20,12/31/25
2310,飲食店営業,一般食堂・レストラン等,ラーメン店,ラーメン多弐家,910-0023,福井市順化１丁目１３－１７南ビル　１Ｆ　１０１,0776-27-1320,福井市指令生衛第24-4-386号,1/21/25,3/31/30
2311,飲食店,食堂,,ラーメン店　とりで,910-0859,福井市日之出１丁目１９―３,0776-25-1635,福井市指令生衛第19-2-236号,6/20/19,7/31/25
2312,飲食店,めん類,,らーめん麦わら屋,910-0842,福井市開発２丁目614,0776-43-1020,福井市指令生衛第20-2-540号,10/20/20,12/31/26
